gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,2048,7168,7168,opus,9000,0,101.0071,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2083.55,944.69,0.0
gfx950,256,2048,7168,16384,opus,9000,0,219.1273,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2195.24,823.06,0.0
gfx950,256,4096,7168,384,opus,9000,0,27.5352,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,818.9,2289.64,0.0
gfx950,256,4096,7168,768,opus,9000,0,37.1602,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1213.59,1812.99,0.0
gfx950,256,4096,7168,1024,opus,9000,0,42.7806,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1405.53,1642.21,0.0
gfx950,256,4096,7168,3072,opus,9000,0,95.7623,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1883.71,974.53,0.0
gfx950,256,4096,7168,7168,opus,9000,0,193.0749,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2180.02,722.31,0.0
gfx950,256,4096,7168,16384,opus,9000,0,406.7107,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2365.5,598.14,0.0
gfx950,256,6144,7168,384,opus,9000,0,39.5365,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,855.48,2357.12,0.0
gfx950,256,6144,7168,768,opus,9000,0,54.0117,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1252.43,1820.05,0.0
gfx950,256,6144,7168,3072,opus,9000,0,139.3406,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1941.88,925.61,0.0
gfx950,256,6144,7168,7168,opus,9000,0,287.605,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2195.23,638.03,0.0
gfx950,256,6144,7168,16384,opus,9000,0,612.9124,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2354.51,499.56,0.0
gfx950,256,8192,7168,384,opus,9000,0,50.5578,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,891.99,2439.56,0.0
gfx950,256,8192,7168,768,opus,9000,0,71.714,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1257.69,1802.12,0.0
gfx950,256,8192,7168,1024,opus,9000,0,81.3581,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1478.15,1636.83,0.0
gfx950,256,8192,7168,3072,opus,9000,0,185.2071,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1947.97,888.88,0.0
gfx950,256,8192,7168,7168,opus,9000,0,384.6677,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2188.42,591.53,0.0
gfx950,256,8192,7168,16384,opus,9000,0,831.8096,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2313.2,443.73,0.0
gfx950,256,10240,7168,384,opus,9000,0,61.6495,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,914.39,2489.64,0.0
gfx950,256,10240,7168,768,opus,9000,0,86.2473,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1307.2,1857.1,0.0
gfx950,256,10240,7168,3072,opus,9000,0,226.3349,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1992.5,884.87,0.0
gfx950,256,10240,7168,7168,opus,9000,0,467.5656,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2250.52,580.84,0.0
gfx950,256,10240,7168,16384,opus,9000,0,1005.8887,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2391.1,429.48,0.0
gfx950,256,12288,7168,384,opus,9000,0,73.9747,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,914.44,2482.36,0.0
gfx950,256,12288,7168,768,opus,9000,0,100.6007,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1344.84,1899.62,0.0
gfx950,256,12288,7168,3072,opus,9000,0,266.3422,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2031.84,885.81,0.0
gfx950,256,12288,7168,7168,opus,9000,0,545.6151,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2314.31,578.47,0.0
gfx950,256,12288,7168,16384,opus,9000,0,1213.5554,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2378.32,407.83,0.0
gfx950,256,14336,7168,384,opus,9000,0,85.7895,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,919.93,2491.9,0.0
gfx950,256,14336,7168,768,opus,9000,0,115.508,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1366.49,1922.26,0.0
gfx950,256,14336,7168,3072,opus,9000,0,299.7375,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2106.38,906.06,0.0
gfx950,256,14336,7168,7168,opus,9000,0,616.0589,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2391.29,583.81,0.0
gfx950,256,14336,7168,16384,opus,9000,0,1428.9541,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2356.45,390.39,0.0
gfx950,256,16384,7168,384,opus,9000,0,90.9246,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,991.97,2682.72,0.0
gfx950,256,16384,7168,768,opus,9000,0,125.4601,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1437.82,2016.33,0.0
gfx950,256,16384,7168,1024,opus,9000,0,145.9636,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1647.8,1774.4,0.0
gfx950,256,16384,7168,3072,opus,9000,0,330.2224,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2185.06,930.38,0.0
gfx950,256,16384,7168,7168,opus,9000,0,687.5994,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2448.56,587.12,0.0
gfx950,256,16384,7168,16384,opus,9000,0,1516.7169,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2537.25,409.28,0.0
gfx950,256,20480,7168,768,opus,9000,0,156.3505,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1442.18,2013.65,0.0
gfx950,256,20480,7168,3072,opus,9000,0,419.9123,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2147.93,901.46,0.0
gfx950,256,20480,7168,7168,opus,9000,0,876.2172,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2401.84,561.26,0.0
gfx950,256,20480,7168,16384,opus,9000,0,1883.5349,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2553.9,396.37,0.0
gfx950,256,24576,7168,768,opus,9000,0,186.8529,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1448.11,2016.03,0.0
gfx950,256,24576,7168,3072,opus,9000,0,496.1935,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2181.27,906.58,0.0
gfx950,256,24576,7168,7168,opus,9000,0,1048.8131,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2407.9,552.87,0.0
gfx950,256,24576,7168,16384,opus,9000,0,2327.3869,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2480.22,374.85,0.0
gfx950,256,28672,7168,768,opus,9000,0,211.5936,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1491.92,2072.69,0.0
gfx950,256,28672,7168,3072,opus,9000,0,568.7961,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2219.99,916.22,0.0
gfx950,256,28672,7168,7168,opus,9000,0,1183.2112,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2490.13,564.52,0.0
gfx950,256,28672,7168,16384,opus,9000,0,2573.9616,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2616.4,387.82,0.0
gfx950,256,32768,7168,384,opus,9000,0,174.2278,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1035.36,2784.27,0.0
gfx950,256,32768,7168,768,opus,9000,0,242.1948,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1489.62,2066.24,0.0
gfx950,256,32768,7168,1024,opus,9000,0,281.1415,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1711.01,1816.37,0.0
gfx950,256,32768,7168,3072,opus,9000,0,655.3204,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2202.14,904.05,0.0
gfx950,256,32768,7168,7168,opus,9000,0,1372.4112,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2453.53,550.87,0.0
gfx950,256,32768,7168,16384,opus,9000,0,2990.4906,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2573.69,375.88,0.0
